Test Cases,Software Requirements
Verify that database performance is monitored,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that media is buffered correctly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Search criteria used for searching should be displayed in the result grid,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Verify that search results filtering options work,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Check the API's ability to handle different date and time formats,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Verify that the API handles resource creation and updates correctly,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Verify that indexes are created on partitions,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that user actions are logged,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Check that Oracle Streams or GoldenGate is configured for data replication,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Ensure image upload functionality works with image files of different extensions,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Check the API's ability to handle resource linking and relationships,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that Oracle Key Vault is used for encryption key management,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Perform load testing of the application.,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that the API supports different data formats for input and output,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Refine search functionality should load the search page with all user-selected search parameters,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Ensure that the API supports soft deletes if applicable,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Check the API's ability to handle user authentication and authorization,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that backup retention policy is followed,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Ensure that database security logs are reviewed regularly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that the API supports data lifecycle management,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Ensure that the site's cache is correctly managed and does not expose sensitive data.,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Verify that social media interactions are tracked,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that the API handles rate limiting and throttling correctly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that media playback controls provide feedback,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Check that HTML format emails are properly formatted and sent.,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Verify that the data displayed on the page and the exported file is the same.,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check the API's ability to handle data aggregation and summarization,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Verify that structured data is implemented correctly,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Verify that advanced search filters work correctly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that Oracle Data Pump is used for data export and import,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Ensure that media playback controls work online,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that user demographics are tracked,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Verify that the site's notifications are properly formatted for different user journeys and workflows.,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Check that database archiving logs are reviewed regularly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that the API handles data sharding and partitioning,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Check that default page sorting is preserved in the exported file.,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Test that chatbot functionality works if available,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that media playback resumes correctly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
"Check image quality after upload, ensuring it is not degraded",Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Ensure that background sync is implemented,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Ensure the default window size is correct,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that media codecs are supported,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Ensure that the API supports secure file downloads,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that the environment is set to production.,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Check that media playback controls are usable,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Check that session-level statistics are collected,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ascending and descending sorting functionality should work for columns supported by data sorting,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that the site's mobile push notifications can be subscribed to and unsubscribed from.,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Ensure that the site's notifications are properly formatted for different user roles and permissions.,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that Oracle Database Vault is used to enforce security policies,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Verify that database restore logs are reviewed regularly,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Ensure that file exports are in the correct file extension.,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Ensure that user recordings are enabled,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that chatbot conversations are logged,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Ensure that invalid form submissions show error messages,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Check that password reset functionality is secure,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Check that hints are used in SQL queries where necessary,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Verify that SPFILE (Server Parameter File) is used for parameter management,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Validate markup for all web pages to ensure compliance with HTML and CSS syntax standards,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that logs are not accessible to unauthorized users,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Verify that database monitoring logs are reviewed regularly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that the API handles data quality checks and validations,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
